Iex;Prms;fspike;;;
1.841e-9;1.01e-9;5,07E+05;;;
1.883e-9;1.017e-9;5,11E+05;;;
1.926e-9;1.024e-9;5,15E+05;;;
1.971e-9;1.03e-9;5,19E+05;;;
2.016e-9;1.037e-9;5,23E+05;;;
2.063e-9;1.044e-9;5,27E+05;;;
2.11e-9;1.051e-9;5,31E+05;;;
2.159e-9;1.058e-9;5,36E+05;;;
2.209e-9;1.065e-9;5,40E+05;;;
2.26e-9;1.073e-9;5,44E+05;;;
2.312e-9;1.08e-9;5,48E+05;;;
2.365e-9;1.088e-9;5,52E+05;;;
2.42e-9;1.095e-9;5,57E+05;;;
2.475e-9;1.102e-9;5,61E+05;;;
2.533e-9;1.109e-9;5,65E+05;;;
2.591e-9;1.117e-9;5,69E+05;;;
2.651e-9;1.125e-9;5,74E+05;;;
2.712e-9;1.133e-9;5,78E+05;;;
2.774e-9;1.14e-9;5,82E+05;;;
2.838e-9;1.149e-9;5,86E+05;;;
2.904e-9;1.157e-9;5,91E+05;;;
2.971e-9;1.165e-9;5,95E+05;;;
3.039e-9;1.173e-9;6,00E+05;;;
3.109e-9;1.181e-9;6,04E+05;;;
3.181e-9;1.19e-9;6,08E+05;;;
3.254e-9;1.199e-9;6,13E+05;;;
3.329e-9;1.208e-9;6,17E+05;;;
3.406e-9;1.217e-9;6,22E+05;;;
3.485e-9;1.226e-9;6,26E+05;;;
3.565e-9;1.235e-9;6,31E+05;;;
3.647e-9;1.244e-9;6,35E+05;;;
3.731e-9;1.254e-9;6,40E+05;;;
3.817e-9;1.264e-9;6,44E+05;;;
3.905e-9;1.274e-9;6,49E+05;;;
3.996e-9;1.285e-9;6,53E+05;;;
4.088e-9;1.295e-9;6,58E+05;;;
4.182e-9;1.306e-9;6,62E+05;;;
4.278e-9;1.317e-9;6,67E+05;;;
4.377e-9;1.328e-9;6,71E+05;;;
4.478e-9;1.339e-9;6,76E+05;;;
4.581e-9;1.351e-9;6,80E+05;;;
4.687e-9;1.363e-9;6,85E+05;;;
4.795e-9;1.375e-9;6,90E+05;;;
4.905e-9;1.388e-9;6,94E+05;;;
5.019e-9;1.401e-9;6,99E+05;;;
5.134e-9;1.414e-9;7,03E+05;;;
5.253e-9;1.427e-9;7,08E+05;;;
5.374e-9;1.441e-9;7,12E+05;;;
5.498e-9;1.455e-9;7,16E+05;;;
5.625e-9;1.47e-9;7,21E+05;;;
5.754e-9;1.484e-9;7,25E+05;;;
